Unit ID,Unit Name,Unit name local script,Fuel type,Unit type,Country/Area,"Subnational unit (province, state)",Latitude,Longitude,Location accuracy,Status,Status year,Discovery year,Production start year,Operator,Owner,Parent,Onshore/Offshore,Production Type,Wiki URL
OG0013453,Gull Lake S U Shaunavon,,oil,pool,Canada,Saskatchewan,50.023,-108.497,exact,operating,2017,1952,,,,,Onshore,Unknown,"https://www.gem.wiki/Gull_Lake_S_U_Shaunavon_Oil_Pool_(Saskatchewan,_Canada)"
OG0013456,Gully Lake Waseca,,oil,pool,Canada,Saskatchewan,53.239,-109.259,exact,operating,2023,1964,,,,,Onshore,Unknown,"https://www.gem.wiki/Gully_Lake_Waseca_Oil_Pool_(Saskatchewan,_Canada)"
OG0013457,Hallam Colony,,gas,pool,Canada,Saskatchewan,52.284,-109.839,exact,operating,2023,,,,,,Onshore,Unknown,"https://www.gem.wiki/Hallam_Colony_Gas_Pool_(Saskatchewan,_Canada)"
OG0013460,Handsworth Alida,,oil,pool,Canada,Saskatchewan,49.832,-102.857,exact,operating,2023,1964,,,,,Onshore,Unknown,"https://www.gem.wiki/Handsworth_Alida_Oil_Pool_(Saskatchewan,_Canada)"
OG0013461,Hardy South Red River,,oil,pool,Canada,Saskatchewan,49.319,-104.811,exact,operating,2023,2000,,,,,Onshore,Unknown,"https://www.gem.wiki/Hardy_South_Red_River_Oil_Pool_(Saskatchewan,_Canada)"
OG0013462,Hartaven Frobisher-Alida,,oil,pool,Canada,Saskatchewan,49.779,-103.12,exact,operating,2023,1965,,,,,Onshore,Unknown,"https://www.gem.wiki/Hartaven_Frobisher-Alida_Oil_Pool_(Saskatchewan,_Canada)"
OG0013465,Hastings East Frobisher,,oil,pool,Canada,Saskatchewan,49.31,-101.853,exact,operating,2023,1956,,,,,Onshore,Unknown,"https://www.gem.wiki/Hastings_East_Frobisher_Oil_Pool_(Saskatchewan,_Canada)"
OG0013466,Hastings Frobisher,,oil,pool,Canada,Saskatchewan,49.28,-101.962,exact,operating,2023,1955,,,,,Onshore,Unknown,"https://www.gem.wiki/Hastings_Frobisher_Oil_Pool_(Saskatchewan,_Canada)"
OG0013467,Hastings North Frobisher,,oil,pool,Canada,Saskatchewan,49.384,-102.011,exact,operating,2023,1997,,,,,Onshore,Unknown,"https://www.gem.wiki/Hastings_North_Frobisher_Oil_Pool_(Saskatchewan,_Canada)"
OG0013468,Hastings West Frobisher,,oil,pool,Canada,Saskatchewan,49.296,-102.08,exact,operating,2023,1963,,,,,Onshore,Unknown,"https://www.gem.wiki/Hastings_West_Frobisher_Oil_Pool_(Saskatchewan,_Canada)"
OG0013469,Hatton Medicine Hat,,gas,pool,Canada,Saskatchewan,50.262,-109.72,exact,operating,2023,,,,,,Onshore,Unknown,"https://www.gem.wiki/Hatton_Medicine_Hat_Gas_Pool_(Saskatchewan,_Canada)"
OG0013470,Hatton Milk River,,gas,pool,Canada,Saskatchewan,50.262,-109.72,exact,operating,2023,,,,,,Onshore,Unknown,"https://www.gem.wiki/Hatton_Milk_River_Gas_Pool_(Saskatchewan,_Canada)"
OG0013471,Hatton-Richmnd Mr/Mh/2Ws,,gas,pool,Canada,Saskatchewan,50.418,-109.733,exact,operating,2017,,,,,,Onshore,Unknown,"https://www.gem.wiki/Hatton-Richmnd_Mr/Mh/2Ws_Gas_Pool_(Saskatchewan,_Canada)"
OG0013472,Hazelwood Ct Tilston,,oil,pool,Canada,Saskatchewan,49.922,-102.547,exact,operating,2017,1991,,,,,Onshore,Unknown,"https://www.gem.wiki/Hazelwood_Ct_Tilston_Oil_Pool_(Saskatchewan,_Canada)"
OG0013473,Hazelwood South Tilston,,oil,pool,Canada,Saskatchewan,49.878,-102.582,exact,operating,2023,1993,,,,,Onshore,Unknown,"https://www.gem.wiki/Hazelwood_South_Tilston_Oil_Pool_(Saskatchewan,_Canada)"
OG0013474,Hazelwood Tilston,,oil,pool,Canada,Saskatchewan,49.921,-102.476,exact,operating,2023,1963,,,,,Onshore,Unknown,"https://www.gem.wiki/Hazelwood_Tilston_Oil_Pool_(Saskatchewan,_Canada)"
OG0013476,Hazlet Roseray,,oil,pool,Canada,Saskatchewan,50.401,-108.525,exact,operating,2023,1963,,,,,Onshore,Unknown,"https://www.gem.wiki/Hazlet_Roseray_Oil_Pool_(Saskatchewan,_Canada)"
OG0013477,Hearts Hill Bakken,,oil,pool,Canada,Saskatchewan,52.117,-109.671,exact,operating,2023,1983,,,,,Onshore,Unknown,"https://www.gem.wiki/Hearts_Hill_Bakken_Oil_Pool_(Saskatchewan,_Canada)"
OG0013478,Heward Frobisher-Alida,,oil,pool,Canada,Saskatchewan,49.735,-103.141,exact,operating,2023,1986,,,,,Onshore,Unknown,"https://www.gem.wiki/Heward_Frobisher-Alida_Oil_Pool_(Saskatchewan,_Canada)"
